Rule 18:
If successor ?a, then parent ?b.

Formal Rule:
Head: ?a  parent  ?b
Body: ?b  successor  ?a

Real Instances from Knowledge Graph (354 found):

John I of Portugal, 1383 1385 Portuguese interregnum has successor John I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ferdinand II of Aragon, Isabella I of Castile has successor Ferdinand II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ferdinand II of Aragon has parent John II of Aragon, John II of Aragon has successor Ferdinand II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Ferdinand II of Aragon, Louis XII has successor Ferdinand II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John II of France has parent Philip VI of France, Philip VI of France has successor John II of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Sancho IV of Castile has parent Alfonso X of Castile, Alfonso X of Castile has successor Sancho IV of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Charles the Fat, Carloman of Bavaria has successor Charles the Fat The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles the Fat, Charles the Bald has successor Charles the Fat The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles the Fat has parent Louis the German, Louis the German has successor Charles the Fat The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry III of France, Charles IX of France has successor Henry III of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Willa of Burgundy, Marozia has successor Willa of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Maria Beatrice d Este Duchess of Massa has parent Maria Teresa Cybo Malaspina Duchess of Massa, Maria Teresa Cybo Malaspina Duchess of Massa has successor Maria Beatrice d Este Duchess of Massa The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Louis VIII of France, John King of England has successor Louis VIII of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis VIII of France has parent Philip II of France, Philip II of France has successor Louis VIII of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Olga of Kiev, Igor of Kiev has successor Olga of Kiev The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Alfonso II of Aragon, Ramon Berenguer IV Count of Barcelona has successor Alfonso II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Alfonso II of Aragon has parent Petronilla of Aragon, Petronilla of Aragon has successor Alfonso II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Charles Emmanuel III of Sardinia, Victor Amadeus II of Sardinia has successor Charles Emmanuel III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles II Archduke of Austria, Ferdinand I Holy Roman Emperor has successor Charles II Archduke of Austria The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Albert II Duke of Austria, Frederick the Fair has successor Albert II Duke of Austria The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Albert II Duke of Austria, Henry of Bohemia has successor Albert II Duke of Austria The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
William the Younger Duke of Brunswic L neburg has parent Ernest I Duke of Brunswic L neburg, Ernest I Duke of Brunswic L neburg has successor William the Younger Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
John of Montfort, John III Duke of Brittany has successor John of Montfort The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Drogo of Champagne, Pepin of Herstal has successor Drogo of Champagne The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John I of Castile has parent Henry II of Castile, Henry II of Castile has successor John I of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Adolf King of the Romans, Rudolf I of Germany has successor Adolf King of the Romans The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Amaury II de Montfort, Simon I de Montfort has successor Amaury II de Montfort The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Philip I of France has parent Henry I of France, Henry I of France has successor Philip I of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Mary of Burgundy, Charles the Bold has successor Mary of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor has parent Leopold Duke of Lorraine, Leopold Duke of Lorraine has successor Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor, Maria Theresa has successor Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Gian Gastone de Medici Grand Duke of Tuscany has successor Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Charles VII Holy Roman Emperor has successor Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis I of Spain, Philip V of Spain has successor Louis I of Spain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Carloman II has parent Louis the Stammerer, Louis the Stammerer has successor Carloman II The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Ferdinand I of Aragon, Martin of Aragon has successor Ferdinand I of Aragon The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis Philippe II Duke of Orl ans has parent Louis Philippe I Duke of Orl ans, Louis Philippe I Duke of Orl ans has successor Louis Philippe II Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Philip VI of France, Charles Count of Valois has successor Philip VI of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Philip VI of France has parent Margaret Countess of Anjou, Margaret Countess of Anjou has successor Philip VI of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
John I Count of Aumale, Joan Countess of Ponthieu has successor John I Count of Aumale The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Rudolph of France, Robert I of France has successor Rudolph of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
 thelbald King of Wessex,  thelwulf King of Wessex has successor  thelbald King of Wessex The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ferdinand I of Austria, Francis II Holy Roman Emperor has successor Ferdinand I of Austria The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John II Duke of Brittany, John I Duke of Brittany has successor John II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Otto I Duke of Bavaria, Henry the Lion has successor Otto I Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Pepin the Short, Carloman mayor of the palace has successor Pepin the Short The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Pepin the Short has parent Charles Martel, Charles Martel has successor Pepin the Short The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Pepin the Short, Childeric III has successor Pepin the Short The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Maximilian Sforza, Louis XII has successor Maximilian Sforza The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Fulk King of Jerusalem, Baldwin II of Jerusalem has successor Fulk King of Jerusalem The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Fulk King of Jerusalem, Fulk IV Count of Anjou has successor Fulk King of Jerusalem The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Humbert II Count of Savoy has parent Amadeus II Count of Savoy, Amadeus II Count of Savoy has successor Humbert II Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Philip II of Spain has parent Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has successor Philip II of Spain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Philip II of Spain, Mary I of England has successor Philip II of Spain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Frederick I Duke of Lorraine, Simon II Duke of Lorraine has successor Frederick I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor has parent Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has successor Maximilian II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Philip II of France has parent Louis VII of France, Louis VII of France has successor Philip II of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Philip I Duke of Burgundy, Joan I Countess of Auvergne has successor Philip I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Philip I Duke of Burgundy, Odo IV Duke of Burgundy has successor Philip I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Philip I Duke of Burgundy, Joan III Countess of Burgundy has successor Philip I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
George III, George II of Great Britain has successor George III The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles III of Spain, Charles VI Holy Roman Emperor has successor Charles III of Spain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles III of Spain, Antonio Farnese Duke of Parma has successor Charles III of Spain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis VI of France has parent Philip I of France, Philip I of France has successor Louis VI of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Louis the Pious has parent Charlemagne, Charlemagne has successor Louis the Pious The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Charles IX of France, Francis II of France has successor Charles IX of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Floris I Count of Holland, Dirk IV Count of Holland has successor Floris I Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Robert I of France, Charles the Simple has successor Robert I of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis the Younger, Louis the German has successor Louis the Younger The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Sancho I of Portugal has parent Afonso I of Portugal, Afonso I of Portugal has successor Sancho I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Albert I of Germany, Adolf King of the Romans has successor Albert I of Germany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Robert III Count of Dreux, Robert II Count of Dreux has successor Robert III Count of Dreux The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henry II of Castile, Peter of Castile has successor Henry II of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henry III of England, John King of England has successor Henry III of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henry III of England, Louis VIII of France has successor Henry III of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Philip the Bold, John II of France has successor Philip the Bold The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Alfred the Great,  thelred I King of Wessex has successor Alfred the Great The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John IV of Portugal, Philip IV of Spain has successor John IV of Portugal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ernest Augustus Elector of Hanover, John Frederick Duke of Brunswic Calenberg has successor Ernest Augustus Elector of Hanover The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis Philippe I, Charles X has successor Louis Philippe I The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis Philippe I, Henri Count of Chambord has successor Louis Philippe I The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis Philippe I has parent Louis Philippe II Duke of Orl ans, Louis Philippe II Duke of Orl ans has successor Louis Philippe I The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Francesco I de Medici Grand Duke of Tuscany has parent Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has successor Francesco I de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Francis Hyacinth Duke of Savoy, Victor Amadeus I Duke of Savoy has successor Francis Hyacinth Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Henry VII Holy Roman Emperor has successor Louis IV Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Rudolf I Duke of Bavaria has successor Louis IV Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Canute VI of Denmark, Valdemar I of Denmark has successor Canute VI of Denmark The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henry VII Holy Roman Emperor, Henry VI Count of Luxembourg has successor Henry VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henry VII Holy Roman Emperor, Conrad IV of Germany has successor Henry VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis Philippe I Duke of Orl ans has parent Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has successor Louis Philippe I Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Robert I Duke of Burgundy, Henry I of France has successor Robert I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Alfonso VIII of Castile has parent Sancho III of Castile, Sancho III of Castile has successor Alfonso VIII of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Hugh of Italy, Rudolph II of Burgundy has successor Hugh of Italy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles Martel has parent Pepin of Herstal, Pepin of Herstal has successor Charles Martel The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Charles Martel, Ragenfrid has successor Charles Martel The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles Martel, Theudoald has successor Charles Martel The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Afonso III of Portugal, Sancho II of Portugal has successor Afonso III of Portugal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Sviatoslav I, Olga of Kiev has successor Sviatoslav I The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Victor Amadeus II of Sardinia, Charles VI Holy Roman Emperor has successor Victor Amadeus II of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
