Rule 22:
If father ?b, then parent ?b.

Formal Rule:
Head: ?a  parent  ?b
Body: ?a  father  ?b

Real Instances from Knowledge Graph (561 found):

A nor de Ch tellerault has parent Aimery I Viscount of Ch tellerault, A nor de Ch tellerault has father Aimery I Viscount of Ch tellerault The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Adelaide Blanche of Anjou has parent Fulk II Count of Anjou, Adelaide Blanche of Anjou has father Fulk II Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Adelaide of Auxerre born c. 870, Adelaide of Auxerre born c. 870 has father Conrad II Duke of Transjurane Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Rudolph I of Burgundy has parent Conrad II Duke of Transjurane Burgundy, Rudolph I of Burgundy has father Conrad II Duke of Transjurane Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Adelaide of Burgundy Duchess of Brabant has parent Hugh IV Duke of Burgundy, Adelaide of Burgundy Duchess of Brabant has father Hugh IV Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Robert II Duke of Burgundy has parent Hugh IV Duke of Burgundy, Robert II Duke of Burgundy has father Hugh IV Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Adolphus Frederick I Duke of Mecklenburg Schwerin has parent John VII Duke of Mecklenburg Schwerin, Adolphus Frederick I Duke of Mecklenburg Schwerin has father John VII Duke of Mecklenburg Schwerin The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Afonso I of Portugal has parent Henry Count of Portugal, Afonso I of Portugal has father Henry Count of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Afonso V of Portugal has parent Edward King of Portugal, Afonso V of Portugal has father Edward King of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Eleanor of Portugal Holy Roman Empress, Eleanor of Portugal Holy Roman Empress has father Edward King of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Ferdinand Duke of Viseu has parent Edward King of Portugal, Ferdinand Duke of Viseu has father Edward King of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Agnes of Rochlitz has parent Dedi III Margrave of Lusatia, Agnes of Rochlitz has father Dedi III Margrave of Lusatia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Alan Stewart of Darnley has parent John Stewart of Darnley, Alan Stewart of Darnley has father John Stewart of Darnley The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Albert Azzo II Margrave of Milan has parent Albert Azzo I Margrave of Milan, Albert Azzo II Margrave of Milan has father Albert Azzo I Margrave of Milan The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Albert Azzo I Margrave of Milan has parent Oberto II Margrave of Milan, Albert Azzo I Margrave of Milan has father Oberto II Margrave of Milan The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Albert III Count of Habsburg, Albert III Count of Habsburg has father Werner II Count of Habsburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Albert II Duke of Brunswic L neburg has parent Albert I Duke of Brunswic L neburg, Albert II Duke of Brunswic L neburg has father Albert I Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Albert IV Count of Habsburg has parent Rudolf II Count of Habsburg, Albert IV Count of Habsburg has father Rudolf II Count of Habsburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Albert I Duke of Brunswic L neburg has parent Otto I Duke of Brunswic L neburg, Albert I Duke of Brunswic L neburg has father Otto I Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Alice Holland Countess of Kent, Alice Holland Countess of Kent has father Richard Fitzalan 3rd Earl of Arundel The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Joan Fitzalan Countess of Hereford has parent Richard Fitzalan 3rd Earl of Arundel, Joan Fitzalan Countess of Hereford has father Richard Fitzalan 3rd Earl of Arundel The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Amaury I de Montfort has parent Guillaume de Montfort of Hainaut, Amaury I de Montfort has father Guillaume de Montfort of Hainaut The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Amicie de Courtenay has parent Peter of Courtenay Lord of Conches, Amicie de Courtenay has father Peter of Courtenay Lord of Conches The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Anna Maria of Ostfriesland has parent Enno III Count of East Frisia, Anna Maria of Ostfriesland has father Enno III Count of East Frisia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Anna of Holstei Gottorp has parent Adolf Duke of Holstei Gottorp, Anna of Holstei Gottorp has father Adolf Duke of Holstei Gottorp The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Anne of Austria has parent Philip III of Spain, Anne of Austria has father Philip III of Spain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philip IV of Spain, Philip IV of Spain has father Philip III of Spain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Antoine Count of Vaud mont has parent Frederick I Count of Vaud mont, Antoine Count of Vaud mont has father Frederick I Count of Vaud mont The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Archduchess Maria Theresa of Austria Este 1817 1886 has parent Francis IV Duke of Modena, Archduchess Maria Theresa of Austria Este 1817 1886 has father Francis IV Duke of Modena The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Arnulf II Count of Flanders has parent Baldwin III Count of Flanders, Arnulf II Count of Flanders has father Baldwin III Count of Flanders The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Arnulf I Count of Flanders has parent Baldwin II Margrave of Flanders, Arnulf I Count of Flanders has father Baldwin II Margrave of Flanders The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Baldwin III Count of Flanders has parent Arnulf I Count of Flanders, Baldwin III Count of Flanders has father Arnulf I Count of Flanders The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Baldwin III Count of Hainaut has parent Baldwin II Count of Hainaut, Baldwin III Count of Hainaut has father Baldwin II Count of Hainaut The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Baldwin II Count of Hainaut has parent Baldwin VI Count of Flanders, Baldwin II Count of Hainaut has father Baldwin VI Count of Flanders The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Baldwin II Margrave of Flanders, Baldwin II Margrave of Flanders has father Baldwin I Margrave of Flanders The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Baldwin IV Count of Flanders has parent Arnulf II Count of Flanders, Baldwin IV Count of Flanders has father Arnulf II Count of Flanders The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Baldwin IV Count of Hainaut has parent Baldwin III Count of Hainaut, Baldwin IV Count of Hainaut has father Baldwin III Count of Hainaut The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Baldwin VI Count of Flanders has parent Baldwin V Count of Flanders, Baldwin VI Count of Flanders has father Baldwin V Count of Flanders The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Baldwin V Count of Hainaut has parent Baldwin IV Count of Hainaut, Baldwin V Count of Hainaut has father Baldwin IV Count of Hainaut The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Beatrice Regina della Scala has parent Mastino II della Scala, Beatrice Regina della Scala has father Mastino II della Scala The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Beatrice of Brandenburg, Beatrice of Brandenburg has father Otto V Margrave of Brandenburg Salzwedel The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Beatriz Pereira de Alvim has parent Nuno  lvares Pereira, Beatriz Pereira de Alvim has father Nuno  lvares Pereira The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Berengaria of Barcelona has parent Ramon Berenguer III Count of Barcelona, Berengaria of Barcelona has father Ramon Berenguer III Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Barcelona has parent Ramon Berenguer III Count of Barcelona, Ramon Berenguer IV Count of Barcelona has father Ramon Berenguer III Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Berenguer Ramon I Count of Barcelona has parent Ramon Borrell Count of Barcelona, Berenguer Ramon I Count of Barcelona has father Ramon Borrell Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Bernard I Duke of Brunswic L neburg, Bernard I Duke of Brunswic L neburg has father Magnus II Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Bertha of Burgundy has parent Conrad I of Burgundy, Bertha of Burgundy has father Conrad I of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Berthold Duke of Merania has parent Berthold I of Istria, Berthold Duke of Merania has father Berthold I of Istria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Berthold I of Istria has parent Berthold II Count of Andechs, Berthold I of Istria has father Berthold II Count of Andechs The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Bertrada of Laon has parent Charibert of Laon, Bertrada of Laon has father Charibert of Laon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Blanche of Brittany has parent John II Duke of Brittany, Blanche of Brittany has father John II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Marie of Brittany Countess of Saint Pol has parent John II Duke of Brittany, Marie of Brittany Countess of Saint Pol has father John II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Blanche of Burgundy has parent Otto IV Count of Burgundy, Blanche of Burgundy has father Otto IV Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Joan II Countess of Burgundy has parent Otto IV Count of Burgundy, Joan II Countess of Burgundy has father Otto IV Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Borrell II Count of Barcelona has parent Sunyer Count of Barcelona, Borrell II Count of Barcelona has father Sunyer Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Bouchard IV of Avesnes has parent James of Avesnes, Bouchard IV of Avesnes has father James of Avesnes The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Carlo Buonaparte, Carlo Buonaparte has father Giuseppe Maria Buonaparte The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Carloman II has parent Louis the Stammerer, Carloman II has father Louis the Stammerer The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis III of France has parent Louis the Stammerer, Louis III of France has father Louis the Stammerer The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Catherine of Foix Countess of Candale has parent Gaston IV Count of Foix, Catherine of Foix Countess of Candale has father Gaston IV Count of Foix The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Margaret of Foix has parent Gaston IV Count of Foix, Margaret of Foix has father Gaston IV Count of Foix The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Catherine of Vend me has parent John VI of Vend me, Catherine of Vend me has father John VI of Vend me The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charles Count of Angoul me has parent John Count of Angoul me, Charles Count of Angoul me has father John Count of Angoul me The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charles III of Spain has parent Philip V of Spain, Charles III of Spain has father Philip V of Spain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria Antonia Ferdinanda of Spain has parent Philip V of Spain, Maria Antonia Ferdinanda of Spain has father Philip V of Spain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charles V Duke of Lorraine has parent Nicholas Francis Duke of Lorraine, Charles V Duke of Lorraine has father Nicholas Francis Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charles V Holy Roman Emperor has parent Philip I of Castile, Charles V Holy Roman Emperor has father Philip I of Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor has parent Philip I of Castile, Ferdinand I Holy Roman Emperor has father Philip I of Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Christine of Hesse has parent Philip I Landgrave of Hesse, Christine of Hesse has father Philip I Landgrave of Hesse The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Cosimo de Medici has parent Giovanni di Bicci de Medici, Cosimo de Medici has father Giovanni di Bicci de Medici The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Lorenzo the Elder has parent Giovanni di Bicci de Medici, Lorenzo the Elder has father Giovanni di Bicci de Medici The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Countess Caroline of Nassau Saarbr cken has parent Louis Crato Count of Nassau Saarbr cken, Countess Caroline of Nassau Saarbr cken has father Louis Crato Count of Nassau Saarbr cken The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Countess Sophia Albertine of Erbach Erbach has parent George Louis I Count of Erbach Erbach, Countess Sophia Albertine of Erbach Erbach has father George Louis I Count of Erbach Erbach The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ebalus Duke of Aquitaine has parent Ranulf II of Aquitaine, Ebalus Duke of Aquitaine has father Ranulf II of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Eckhard I Count of Scheyern has parent Otto I Count of Scheyern, Eckhard I Count of Scheyern has father Otto I Count of Scheyern The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Edward III of England has parent Edward II of England, Edward III of England has father Edward II of England The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Engeltrude de F zensac, Engeltrude de F zensac has father Leuthard I of Paris The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Ermengarde Countess of Maine has parent Elias I Count of Maine, Ermengarde Countess of Maine has father Elias I Count of Maine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ermengarde of Anjou Duchess of Burgundy has parent Fulk III Count of Anjou, Ermengarde of Anjou Duchess of Burgundy has father Fulk III Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ernest Duke of Austria has parent Leopold III Duke of Austria, Ernest Duke of Austria has father Leopold III Duke of Austria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
