Rule 24:
If predecessor ?a, then child ?b.

Formal Rule:
Head: ?a  child  ?b
Body: ?b  predecessor  ?a

Real Instances from Knowledge Graph (358 found):

Willa of Tuscany, Adelaide of Italy has predecessor Willa of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Willa of Tuscany, Gerberga of M con has predecessor Willa of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philippe I Duke of Orl ans, Philippe II Duke of Orl ans has predecessor Philippe I Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis the German has child Louis the Younger, Louis the Younger has predecessor Louis the German The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis the German has child Charles the Fat, Charles the Fat has predecessor Louis the German The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Fulk IV Count of Anjou has child Fulk King of Jerusalem, Fulk King of Jerusalem has predecessor Fulk IV Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis I of Spain, Philip V of Spain has predecessor Louis I of Spain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ramon Berenguer III Count of Barcelona, Ramon Berenguer IV Count of Barcelona has predecessor Ramon Berenguer III Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Maximilian II Holy Roman Emperor has predecessor Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor has child Charles II Archduke of Austria, Charles II Archduke of Austria has predecessor Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor, Ferdinand II Archduke of Austria has predecessor Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Yaroslav the Wise has child Iziaslav I of Kiev, Iziaslav I of Kiev has predecessor Yaroslav the Wise The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Conrad I of Germany, Henry the Fowler has predecessor Conrad I of Germany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
John I of Castile has child Henry III of Castile, Henry III of Castile has predecessor John I of Castile The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Alfonso IX of Le n has child Ferdinand III of Castile, Ferdinand III of Castile has predecessor Alfonso IX of Le n The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Henry II of France has child Francis II of France, Francis II of France has predecessor Henry II of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Theobald II of Navarre, Henry I of Navarre has predecessor Theobald II of Navarre The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Alix Duchess of Brittany, Peter I Duke of Brittany has predecessor Alix Duchess of Brittany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Alix Duchess of Brittany, John I Duke of Brittany has predecessor Alix Duchess of Brittany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Joan II Countess of Burgundy has child Joan III Countess of Burgundy, Joan III Countess of Burgundy has predecessor Joan II Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Afonso III of Portugal has child Denis of Portugal, Denis of Portugal has predecessor Afonso III of Portugal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Hugh of Italy has child Lothair II of Italy, Lothair II of Italy has predecessor Hugh of Italy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Guillaume de Montfort of Hainaut, Amaury I de Montfort has predecessor Guillaume de Montfort of Hainaut The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752 has child Louis Philippe I Duke of Orl ans, Louis Philippe I Duke of Orl ans has predecessor Louis Duke of Orl ans 1703 1752 The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Mary Queen of Scots has child James VI and I, James VI and I has predecessor Mary Queen of Scots The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
John III Duke of Brittany, John of Montfort has predecessor John III Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles the Fat, Odo of France has predecessor Charles the Fat The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles the Fat, Berengar I of Italy has predecessor Charles the Fat The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles the Fat, Guy III of Spoleto has predecessor Charles the Fat The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles the Fat, Arnulf of Carinthia has predecessor Charles the Fat The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Alfonso X of Castile has child Sancho IV of Castile, Sancho IV of Castile has predecessor Alfonso X of Castile The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Ecgberht King of Wessex has child  thelwulf King of Wessex,  thelwulf King of Wessex has predecessor Ecgberht King of Wessex The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Napoleon, Louis XVIII has predecessor Napoleon The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Napoleon has child Napoleon II, Napoleon II has predecessor Napoleon The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Sancho IV of Castile, Ferdinand IV of Castile has predecessor Sancho IV of Castile The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Edward III of England, Richard II of England has predecessor Edward III of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis Duke of Savoy has child Amadeus IX Duke of Savoy, Amadeus IX Duke of Savoy has predecessor Louis Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Princess Marie Isabelle of Orl ans, Archduchess Maria Dorothea of Austria has predecessor Princess Marie Isabelle of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Leopold II Holy Roman Emperor has child Ferdinand III Grand Duke of Tuscany, Ferdinand III Grand Duke of Tuscany has predecessor Leopold II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Ermengarde of Tuscany, Willa of Tuscany has predecessor Ermengarde of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ferdinand II of Aragon has child Joanna of Castile, Joanna of Castile has predecessor Ferdinand II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Robert II Count of Dreux has child Robert III Count of Dreux, Robert III Count of Dreux has predecessor Robert II Count of Dreux The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Henry the Lion, Otto I Duke of Bavaria has predecessor Henry the Lion The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henry the Lion, Bernhard Count of Anhalt has predecessor Henry the Lion The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Alfonso VII of Le n and Castile has child Sancho III of Castile, Sancho III of Castile has predecessor Alfonso VII of Le n and Castile The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Alfonso VII of Le n and Castile has child Ferdinand II of Le n, Ferdinand II of Le n has predecessor Alfonso VII of Le n and Castile The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis Count of Vend me, John VIII Count of Vend me has predecessor Louis Count of Vend me The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip II Duke of Savoy, Philibert II Duke of Savoy has predecessor Philip II Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
John King of England has child Henry III of England, Henry III of England has predecessor John King of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
John King of England, Louis VIII of France has predecessor John King of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis III of Anjou, Ren  of Anjou has predecessor Louis III of Anjou The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles X has child Louis Antoine Duke of Angoul me, Louis Antoine Duke of Angoul me has predecessor Charles X The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Charles X, Henri Count of Chambord has predecessor Charles X The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles X, Louis Philippe I has predecessor Charles X The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Valdemar I of Denmark has child Canute VI of Denmark, Canute VI of Denmark has predecessor Valdemar I of Denmark The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Odo IV Duke of Burgundy, Philip I Duke of Burgundy has predecessor Odo IV Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
William the Younger Duke of Brunswic L neburg has child Ernest II Duke of Brunswic L neburg, Ernest II Duke of Brunswic L neburg has predecessor William the Younger Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
James I of Aragon has child Peter III of Aragon, Peter III of Aragon has predecessor James I of Aragon The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Lothair of France, Louis V of France has predecessor Lothair of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles IV of France, Philip VI of France has predecessor Charles IV of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles IV of France, Philip III of Navarre has predecessor Charles IV of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Simon I de Montfort, Amaury II de Montfort has predecessor Simon I de Montfort The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis Philippe I, Jacques Charles Dupont de l Eure has predecessor Louis Philippe I The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis Philippe I, Prince Philippe Count of Paris has predecessor Louis Philippe I The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Mahaut Countess of Artois, Joan II Countess of Burgundy has predecessor Mahaut Countess of Artois The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip III of Navarre, Joan II of Navarre has predecessor Philip III of Navarre The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ferdinand II of Le n has child Alfonso IX of Le n, Alfonso IX of Le n has predecessor Ferdinand II of Le n The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Francis II Holy Roman Emperor has child Ferdinand I of Austria, Ferdinand I of Austria has predecessor Francis II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Maria Theresa, Charles VII Holy Roman Emperor has predecessor Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Maria Theresa has child Joseph II Holy Roman Emperor, Joseph II Holy Roman Emperor has predecessor Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Maria Theresa, Francis I Holy Roman Emperor has predecessor Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
John the Fearless has child Philip the Good, Philip the Good has predecessor John the Fearless The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Edward II of England has child Edward III of England, Edward III of England has predecessor Edward II of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Eleanor of Aquitaine has child John King of England, John King of England has predecessor Eleanor of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis III of France, Carloman II has predecessor Louis III of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ercole III d Este Duke of Modena, Francis IV Duke of Modena has predecessor Ercole III d Este Duke of Modena The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Sviatoslav I, Yaropolk I of Kiev has predecessor Sviatoslav I The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Sviatoslav I has child Vladimir the Great, Vladimir the Great has predecessor Sviatoslav I The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Marie of Bade Sponheim, Archduchess Anna of Austria has predecessor Marie of Bade Sponheim The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Maria Teresa Cybo Malaspina Duchess of Massa has child Maria Beatrice d Este Duchess of Massa, Maria Beatrice d Este Duchess of Massa has predecessor Maria Teresa Cybo Malaspina Duchess of Massa The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
1383 1385 Portuguese interregnum, John I of Portugal has predecessor 1383 1385 Portuguese interregnum The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Golden Ambrosian Republic, Francesco I Sforza has predecessor Golden Ambrosian Republic The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henri Jules Prince of Cond , Louis Duke of Orl ans 1703 1752 has predecessor Henri Jules Prince of Cond  The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Arnulf Count of Holland has child Dirk III Count of Holland, Dirk III Count of Holland has predecessor Arnulf Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Ernest Duke of Austria, Frederick III Holy Roman Emperor has predecessor Ernest Duke of Austria The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Mary I of England, Philip II of Spain has predecessor Mary I of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
John I of France, Philip V of France has predecessor John I of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ferdinand I of the Two Sicilies has child Francis I of the Two Sicilies, Francis I of the Two Sicilies has predecessor Ferdinand I of the Two Sicilies The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Ferdinand Philippe Duke of Orl ans has child Prince Philippe Count of Paris, Prince Philippe Count of Paris has predecessor Ferdinand Philippe Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
George II of Great Britain, George III has predecessor George II of Great Britain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Victor Amadeus II of Sardinia has child Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has predecessor Victor Amadeus II of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Victor Amadeus II of Sardinia, Charles VI Holy Roman Emperor has predecessor Victor Amadeus II of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Albert the Bear, Henry the Lion has predecessor Albert the Bear The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Alfonso II Count of Provence has child Ramon Berenguer IV Count of Provence, Ramon Berenguer IV Count of Provence has predecessor Alfonso II Count of Provence The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
