Rule 27:
If successor ?b, then child ?b.

Formal Rule:
Head: ?a  child  ?b
Body: ?a  successor  ?b

Real Instances from Knowledge Graph (354 found):

1383 1385 Portuguese interregnum, 1383 1385 Portuguese interregnum has successor John I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Isabella I of Castile, Isabella I of Castile has successor Ferdinand II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John II of Aragon has child Ferdinand II of Aragon, John II of Aragon has successor Ferdinand II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis XII, Louis XII has successor Ferdinand II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Philip VI of France, Philip VI of France has successor John II of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Alfonso X of Castile has child Sancho IV of Castile, Alfonso X of Castile has successor Sancho IV of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Carloman of Bavaria, Carloman of Bavaria has successor Charles the Fat The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles the Bald, Charles the Bald has successor Charles the Fat The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis the German has child Charles the Fat, Louis the German has successor Charles the Fat The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Charles IX of France, Charles IX of France has successor Henry III of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Marozia, Marozia has successor Willa of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Maria Teresa Cybo Malaspina Duchess of Massa has child Maria Beatrice d Este Duchess of Massa, Maria Teresa Cybo Malaspina Duchess of Massa has successor Maria Beatrice d Este Duchess of Massa The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
John King of England, John King of England has successor Louis VIII of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Philip II of France has child Louis VIII of France, Philip II of France has successor Louis VIII of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Igor of Kiev, Igor of Kiev has successor Olga of Kiev The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ramon Berenguer IV Count of Barcelona, Ramon Berenguer IV Count of Barcelona has successor Alfonso II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Petronilla of Aragon, Petronilla of Aragon has successor Alfonso II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Victor Amadeus II of Sardinia has child Charles Emmanuel III of Sardinia, Victor Amadeus II of Sardinia has successor Charles Emmanuel III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor has child Charles II Archduke of Austria, Ferdinand I Holy Roman Emperor has successor Charles II Archduke of Austria The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Frederick the Fair, Frederick the Fair has successor Albert II Duke of Austria The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry of Bohemia, Henry of Bohemia has successor Albert II Duke of Austria The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ernest I Duke of Brunswic L neburg, Ernest I Duke of Brunswic L neburg has successor William the Younger Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John III Duke of Brittany, John III Duke of Brittany has successor John of Montfort The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Pepin of Herstal, Pepin of Herstal has successor Drogo of Champagne The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry II of Castile, Henry II of Castile has successor John I of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Rudolf I of Germany, Rudolf I of Germany has successor Adolf King of the Romans The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Simon I de Montfort, Simon I de Montfort has successor Amaury II de Montfort The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry I of France, Henry I of France has successor Philip I of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles the Bold has child Mary of Burgundy, Charles the Bold has successor Mary of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Leopold Duke of Lorraine has child Francis I Holy Roman Emperor, Leopold Duke of Lorraine has successor Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Maria Theresa, Maria Theresa has successor Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Gian Gastone de Medici Grand Duke of Tuscany, Gian Gastone de Medici Grand Duke of Tuscany has successor Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles VII Holy Roman Emperor, Charles VII Holy Roman Emperor has successor Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Philip V of Spain, Philip V of Spain has successor Louis I of Spain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis the Stammerer has child Carloman II, Louis the Stammerer has successor Carloman II The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Martin of Aragon, Martin of Aragon has successor Ferdinand I of Aragon The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis Philippe I Duke of Orl ans has child Louis Philippe II Duke of Orl ans, Louis Philippe I Duke of Orl ans has successor Louis Philippe II Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Charles Count of Valois, Charles Count of Valois has successor Philip VI of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Margaret Countess of Anjou has child Philip VI of France, Margaret Countess of Anjou has successor Philip VI of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Joan Countess of Ponthieu, Joan Countess of Ponthieu has successor John I Count of Aumale The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Robert I of France, Robert I of France has successor Rudolph of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
 thelwulf King of Wessex has child  thelbald King of Wessex,  thelwulf King of Wessex has successor  thelbald King of Wessex The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Francis II Holy Roman Emperor has child Ferdinand I of Austria, Francis II Holy Roman Emperor has successor Ferdinand I of Austria The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
John I Duke of Brittany has child John II Duke of Brittany, John I Duke of Brittany has successor John II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Henry the Lion, Henry the Lion has successor Otto I Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Carloman mayor of the palace, Carloman mayor of the palace has successor Pepin the Short The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles Martel has child Pepin the Short, Charles Martel has successor Pepin the Short The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Childeric III, Childeric III has successor Pepin the Short The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis XII, Louis XII has successor Maximilian Sforza The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Baldwin II of Jerusalem, Baldwin II of Jerusalem has successor Fulk King of Jerusalem The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Fulk IV Count of Anjou has child Fulk King of Jerusalem, Fulk IV Count of Anjou has successor Fulk King of Jerusalem The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Amadeus II Count of Savoy, Amadeus II Count of Savoy has successor Humbert II Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has successor Philip II of Spain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Mary I of England, Mary I of England has successor Philip II of Spain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Simon II Duke of Lorraine, Simon II Duke of Lorraine has successor Frederick I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has successor Maximilian II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis VII of France, Louis VII of France has successor Philip II of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Joan I Countess of Auvergne has child Philip I Duke of Burgundy, Joan I Countess of Auvergne has successor Philip I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Odo IV Duke of Burgundy, Odo IV Duke of Burgundy has successor Philip I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Joan III Countess of Burgundy, Joan III Countess of Burgundy has successor Philip I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
George II of Great Britain, George II of Great Britain has successor George III The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles VI Holy Roman Emperor, Charles VI Holy Roman Emperor has successor Charles III of Spain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Antonio Farnese Duke of Parma, Antonio Farnese Duke of Parma has successor Charles III of Spain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Philip I of France, Philip I of France has successor Louis VI of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charlemagne has child Louis the Pious, Charlemagne has successor Louis the Pious The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Francis II of France, Francis II of France has successor Charles IX of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Dirk IV Count of Holland, Dirk IV Count of Holland has successor Floris I Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles the Simple, Charles the Simple has successor Robert I of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis the German has child Louis the Younger, Louis the German has successor Louis the Younger The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Afonso I of Portugal, Afonso I of Portugal has successor Sancho I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Adolf King of the Romans, Adolf King of the Romans has successor Albert I of Germany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Robert II Count of Dreux has child Robert III Count of Dreux, Robert II Count of Dreux has successor Robert III Count of Dreux The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Peter of Castile, Peter of Castile has successor Henry II of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John King of England has child Henry III of England, John King of England has successor Henry III of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis VIII of France, Louis VIII of France has successor Henry III of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John II of France, John II of France has successor Philip the Bold The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
 thelred I King of Wessex,  thelred I King of Wessex has successor Alfred the Great The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Philip IV of Spain, Philip IV of Spain has successor John IV of Portugal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John Frederick Duke of Brunswic Calenberg, John Frederick Duke of Brunswic Calenberg has successor Ernest Augustus Elector of Hanover The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles X, Charles X has successor Louis Philippe I The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henri Count of Chambord, Henri Count of Chambord has successor Louis Philippe I The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis Philippe II Duke of Orl ans has child Louis Philippe I, Louis Philippe II Duke of Orl ans has successor Louis Philippe I The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Cosimo I de Medici Grand Duke of Tuscany has child Francesco I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has successor Francesco I de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Victor Amadeus I Duke of Savoy has child Francis Hyacinth Duke of Savoy, Victor Amadeus I Duke of Savoy has successor Francis Hyacinth Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Henry VII Holy Roman Emperor, Henry VII Holy Roman Emperor has successor Louis IV Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Rudolf I Duke of Bavaria, Rudolf I Duke of Bavaria has successor Louis IV Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Valdemar I of Denmark has child Canute VI of Denmark, Valdemar I of Denmark has successor Canute VI of Denmark The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Henry VI Count of Luxembourg has child Henry VII Holy Roman Emperor, Henry VI Count of Luxembourg has successor Henry VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Conrad IV of Germany, Conrad IV of Germany has successor Henry VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752 has child Louis Philippe I Duke of Orl ans, Louis Duke of Orl ans 1703 1752 has successor Louis Philippe I Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Henry I of France, Henry I of France has successor Robert I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Sancho III of Castile has child Alfonso VIII of Castile, Sancho III of Castile has successor Alfonso VIII of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Rudolph II of Burgundy, Rudolph II of Burgundy has successor Hugh of Italy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Pepin of Herstal has child Charles Martel, Pepin of Herstal has successor Charles Martel The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Ragenfrid, Ragenfrid has successor Charles Martel The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Theudoald, Theudoald has successor Charles Martel The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Sancho II of Portugal, Sancho II of Portugal has successor Afonso III of Portugal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Olga of Kiev, Olga of Kiev has successor Sviatoslav I The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
