Rule 9:
If parent ?b, then predecessor ?b.

Formal Rule:
Head: ?a  predecessor  ?b
Body: ?a  parent  ?b

Real Instances from Knowledge Graph (946 found):

A nor de Ch tellerault, A nor de Ch tellerault has parent Aimery I Viscount of Ch tellerault The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis I Duke of Orl ans, Louis I Duke of Orl ans has parent Charles V of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles VI of France has predecessor Charles V of France, Charles VI of France has parent Charles V of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Yolande of Aragon, Yolande of Aragon has parent John I of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Matilda of Brabant Countess of Artois, Matilda of Brabant Countess of Artois has parent Maria of Swabia The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry III Duke of Brabant, Henry III Duke of Brabant has parent Maria of Swabia The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria of Austria Duchess of J lich Cleves Berg, Maria of Austria Duchess of J lich Cleves Berg has parent Anne of Bohemia and Hungary The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor, Maximilian II Holy Roman Emperor has parent Anne of Bohemia and Hungary The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Archduchess Anna of Austria, Archduchess Anna of Austria has parent Anne of Bohemia and Hungary The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Vladimir the Great, Vladimir the Great has parent Malusha The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Odo I Count of Blois, Odo I Count of Blois has parent Theobald I Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Wilfred the Hairy, Wilfred the Hairy has parent Sunifred Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Amaury I de Montfort has predecessor Guillaume de Montfort of Hainaut, Amaury I de Montfort has parent Guillaume de Montfort of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Gertrude of Saxony, Gertrude of Saxony has parent Eilika of Schweinfurt The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry II of England has predecessor Geoffrey Plantagenet Count of Anjou, Henry II of England has parent Geoffrey Plantagenet Count of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Louis IV Holy Roman Emperor, Louis IV Holy Roman Emperor has parent Louis II Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Baldwin III Count of Hainaut, Baldwin III Count of Hainaut has parent Ida Countess of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Hugh IV Duke of Burgundy, Hugh IV Duke of Burgundy has parent Alice of Vergy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles III Duke of Lorraine, Charles III Duke of Lorraine has parent Christina of Denmark The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Stephen II Duke of Bavaria, Stephen II Duke of Bavaria has parent Beatrice of Silesia The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Matilda of Bavaria Margravine of Meissen, Matilda of Bavaria Margravine of Meissen has parent Beatrice of Silesia The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Liudolf Margrave of Frisia, Liudolf Margrave of Frisia has parent Brun I Count of Brunswick The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Robert II of Scotland, Robert II of Scotland has parent Marjorie Bruce The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Archduchess Maria Theresa of Austria Este 1817 1886, Archduchess Maria Theresa of Austria Este 1817 1886 has parent Maria Beatrice of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elizabeth of York, Elizabeth of York has parent Elizabeth Woodville The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Brabant, Margaret of Brabant has parent John I Duke of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Louise Duchess of Parma, Marie Louise Duchess of Parma has parent Maria Theresa of Naples and Sicily The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles IX of France, Charles IX of France has parent Catherine de Medici The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry III of France, Henry III of France has parent Catherine de Medici The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis Duke of Anjou, Francis Duke of Anjou has parent Catherine de Medici The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Valois, Margaret of Valois has parent Catherine de Medici The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Bertrada of Laon, Bertrada of Laon has parent Charibert of Laon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Magnus I Duke of Brunswic L neburg, Magnus I Duke of Brunswic L neburg has parent Rixa of Werle The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charlotte of Savoy, Charlotte of Savoy has parent Anne of Cyprus The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Bona of Savoy, Bona of Savoy has parent Anne of Cyprus The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip II Duke of Savoy, Philip II Duke of Savoy has parent Anne of Cyprus The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Savoy Countess of Saint Pol, Margaret of Savoy Countess of Saint Pol has parent Anne of Cyprus The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Borrell II Count of Barcelona, Borrell II Count of Barcelona has parent Sunyer Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Gerberga of Saxony, Gerberga of Saxony has parent Henry the Fowler The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Hedwig of Saxony, Hedwig of Saxony has parent Henry the Fowler The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip the Bold, Philip the Bold has parent Bonne of Luxembourg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie of France Duchess of Bar, Marie of France Duchess of Bar has parent Bonne of Luxembourg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles V of France, Charles V of France has parent Bonne of Luxembourg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Albert Azzo II Margrave of Milan, Albert Azzo II Margrave of Milan has parent Albert Azzo I Margrave of Milan The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John I Count of Hainaut, John I Count of Hainaut has parent Margaret II Countess of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alfonso IX of Le n has predecessor Ferdinand II of Le n, Alfonso IX of Le n has parent Ferdinand II of Le n The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Anna Maria of Mecklenburg Schwerin, Anna Maria of Mecklenburg Schwerin has parent Anna Maria of Ostfriesland The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Igor of Kiev, Igor of Kiev has parent Rurik The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adolphus Frederick I Duke of Mecklenburg Schwerin, Adolphus Frederick I Duke of Mecklenburg Schwerin has parent John VII Duke of Mecklenburg Schwerin The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis Duke of Anjou, Francis Duke of Anjou has parent Henry II of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles IX of France, Charles IX of France has parent Henry II of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Valois, Margaret of Valois has parent Henry II of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Matilda of France, Matilda of France has parent Gerberga of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Lothair of France, Lothair of France has parent Gerberga of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Otto I Duke of Brunswic L neburg, Otto I Duke of Brunswic L neburg has parent William of Winchester Lord of Lunenburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John Count of Chalon, John Count of Chalon has parent Beatrice of Savoy Lady of Villena The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence has predecessor Alfonso II Count of Provence, Ramon Berenguer IV Count of Provence has parent Alfonso II Count of Provence The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Bertha of Holland, Bertha of Holland has parent Gertrude of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has parent Joanna of Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Estrid of the Obotrites, Estrid of the Obotrites has parent Tribal chief The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Gerloc, Gerloc has parent Poppa of Bayeux The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis XIII, Louis XIII has parent Henry IV of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elisabeth of France 1602 1644, Elisabeth of France 1602 1644 has parent Henry IV of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henrietta Maria, Henrietta Maria has parent Henry IV of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philippe II Duke of Orl ans, Philippe II Duke of Orl ans has parent Elizabeth Charlotte Madame Palatine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Fulk IV Count of Anjou, Fulk IV Count of Anjou has parent Ermengarde of Anjou Duchess of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Beatrice of Savoy, Maria Beatrice of Savoy has parent Maria Theresa of Austria Este Queen of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Amalia of Naples and Sicily, Maria Amalia of Naples and Sicily has parent Ferdinand I of the Two Sicilies The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Theresa of Naples and Sicily, Maria Theresa of Naples and Sicily has parent Ferdinand I of the Two Sicilies The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Nicolas Duke of Merc ur, Nicolas Duke of Merc ur has parent Antoine Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis I Duke of Lorraine has predecessor Antoine Duke of Lorraine, Francis I Duke of Lorraine has parent Antoine Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Charlotte Agla  d Orl ans, Charlotte Agla  d Orl ans has parent Philippe II Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752 has predecessor Philippe II Duke of Orl ans, Louis Duke of Orl ans 1703 1752 has parent Philippe II Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Welf I Duke of Bavaria, Welf I Duke of Bavaria has parent Kunigunde of Altdorf The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Gertrude of Hohenberg, Gertrude of Hohenberg has parent Burkhard V Count of Hohenberg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Foix, Margaret of Foix has parent Gaston IV Count of Foix The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Catherine of Foix Countess of Candale, Catherine of Foix Countess of Candale has parent Gaston IV Count of Foix The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Stephen II Duke of Bavaria, Stephen II Duke of Bavaria has parent Louis IV Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ernest I Duke of Brunswic L neburg, Ernest I Duke of Brunswic L neburg has parent Margaret of Saxony Duchess of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles Duke of Vend me, Charles Duke of Vend me has parent Marie of Luxembourg Countess of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Antoinette of Bourbon, Antoinette of Bourbon has parent Marie of Luxembourg Countess of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Pepin the Short has predecessor Charles Martel, Pepin the Short has parent Charles Martel The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Isabella of Portugal Queen of Castile, Isabella of Portugal Queen of Castile has parent John Constable of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Beatriz of Portugal Duchess of Viseu, Beatriz of Portugal Duchess of Viseu has parent John Constable of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip V of France, Philip V of France has parent Joan I of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles IV of France, Charles IV of France has parent Joan I of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella of France, Isabella of France has parent Joan I of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis X of France has predecessor Joan I of Navarre, Louis X of France has parent Joan I of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Albert I Duke of Brunswic L neburg has predecessor Otto I Duke of Brunswic L neburg, Albert I Duke of Brunswic L neburg has parent Otto I Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Baldwin II Count of Hainaut, Baldwin II Count of Hainaut has parent Baldwin VI Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret Stewart Dauphine of France, Margaret Stewart Dauphine of France has parent James I of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Beatrice of England, Beatrice of England has parent Henry III of England The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Edward I of England has predecessor Henry III of England, Edward I of England has parent Henry III of England The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Maud Chaworth, Maud Chaworth has parent Patrick de Chaworth Lord of Kidwelly The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elisabeth of Austria Queen of France, Elisabeth of Austria Queen of France has parent Maximilian II Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Lambert I Count of Louvain, Lambert I Count of Louvain has parent Reginar III Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
