Rule 11:
If successor ?a, then predecessor ?b.

Formal Rule:
Head: ?a  predecessor  ?b
Body: ?b  successor  ?a

Real Instances from Knowledge Graph (354 found):

John I of Portugal has predecessor 1383 1385 Portuguese interregnum, 1383 1385 Portuguese interregnum has successor John I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinand II of Aragon, Isabella I of Castile has successor Ferdinand II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Ferdinand II of Aragon has predecessor John II of Aragon, John II of Aragon has successor Ferdinand II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinand II of Aragon has predecessor Louis XII, Louis XII has successor Ferdinand II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John II of France has predecessor Philip VI of France, Philip VI of France has successor John II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Sancho IV of Castile has predecessor Alfonso X of Castile, Alfonso X of Castile has successor Sancho IV of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles the Fat has predecessor Carloman of Bavaria, Carloman of Bavaria has successor Charles the Fat. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles the Fat, Charles the Bald has successor Charles the Fat. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Charles the Fat has predecessor Louis the German, Louis the German has successor Charles the Fat. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry III of France has predecessor Charles IX of France, Charles IX of France has successor Henry III of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Willa of Burgundy has predecessor Marozia, Marozia has successor Willa of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Maria Beatrice d Este Duchess of Massa has predecessor Maria Teresa Cybo Malaspina Duchess of Massa, Maria Teresa Cybo Malaspina Duchess of Massa has successor Maria Beatrice d Este Duchess of Massa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis VIII of France has predecessor John King of England, John King of England has successor Louis VIII of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis VIII of France has predecessor Philip II of France, Philip II of France has successor Louis VIII of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Olga of Kiev has predecessor Igor of Kiev, Igor of Kiev has successor Olga of Kiev. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Alfonso II of Aragon has predecessor Ramon Berenguer IV Count of Barcelona, Ramon Berenguer IV Count of Barcelona has successor Alfonso II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Alfonso II of Aragon has predecessor Petronilla of Aragon, Petronilla of Aragon has successor Alfonso II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles Emmanuel III of Sardinia has predecessor Victor Amadeus II of Sardinia, Victor Amadeus II of Sardinia has successor Charles Emmanuel III of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles II Archduke of Austria has predecessor Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has successor Charles II Archduke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Albert II Duke of Austria has predecessor Frederick the Fair, Frederick the Fair has successor Albert II Duke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Albert II Duke of Austria has predecessor Henry of Bohemia, Henry of Bohemia has successor Albert II Duke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
William the Younger Duke of Brunswic L neburg has predecessor Ernest I Duke of Brunswic L neburg, Ernest I Duke of Brunswic L neburg has successor William the Younger Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John of Montfort has predecessor John III Duke of Brittany, John III Duke of Brittany has successor John of Montfort. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Drogo of Champagne has predecessor Pepin of Herstal, Pepin of Herstal has successor Drogo of Champagne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John I of Castile, Henry II of Castile has successor John I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Adolf King of the Romans has predecessor Rudolf I of Germany, Rudolf I of Germany has successor Adolf King of the Romans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Amaury II de Montfort has predecessor Simon I de Montfort, Simon I de Montfort has successor Amaury II de Montfort. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip I of France has predecessor Henry I of France, Henry I of France has successor Philip I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Mary of Burgundy, Charles the Bold has successor Mary of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Leopold Duke of Lorraine has successor Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor has predecessor Maria Theresa, Maria Theresa has successor Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor has predecessor Gian Gastone de Medici Grand Duke of Tuscany, Gian Gastone de Medici Grand Duke of Tuscany has successor Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor has predecessor Charles VII Holy Roman Emperor, Charles VII Holy Roman Emperor has successor Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis I of Spain has predecessor Philip V of Spain, Philip V of Spain has successor Louis I of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Carloman II has predecessor Louis the Stammerer, Louis the Stammerer has successor Carloman II. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinand I of Aragon, Martin of Aragon has successor Ferdinand I of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Louis Philippe II Duke of Orl ans has predecessor Louis Philippe I Duke of Orl ans, Louis Philippe I Duke of Orl ans has successor Louis Philippe II Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip VI of France, Charles Count of Valois has successor Philip VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Philip VI of France has predecessor Margaret Countess of Anjou, Margaret Countess of Anjou has successor Philip VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John I Count of Aumale has predecessor Joan Countess of Ponthieu, Joan Countess of Ponthieu has successor John I Count of Aumale. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Rudolph of France, Robert I of France has successor Rudolph of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
 thelbald King of Wessex,  thelwulf King of Wessex has successor  thelbald King of Wessex. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Ferdinand I of Austria has predecessor Francis II Holy Roman Emperor, Francis II Holy Roman Emperor has successor Ferdinand I of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John II Duke of Brittany, John I Duke of Brittany has successor John II Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Otto I Duke of Bavaria has predecessor Henry the Lion, Henry the Lion has successor Otto I Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Pepin the Short has predecessor Carloman mayor of the palace, Carloman mayor of the palace has successor Pepin the Short. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Pepin the Short has predecessor Charles Martel, Charles Martel has successor Pepin the Short. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Pepin the Short has predecessor Childeric III, Childeric III has successor Pepin the Short. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Maximilian Sforza has predecessor Louis XII, Louis XII has successor Maximilian Sforza. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Fulk King of Jerusalem, Baldwin II of Jerusalem has successor Fulk King of Jerusalem. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Fulk King of Jerusalem has predecessor Fulk IV Count of Anjou, Fulk IV Count of Anjou has successor Fulk King of Jerusalem. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Humbert II Count of Savoy has predecessor Amadeus II Count of Savoy, Amadeus II Count of Savoy has successor Humbert II Count of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip II of Spain has predecessor Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has successor Philip II of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip II of Spain has predecessor Mary I of England, Mary I of England has successor Philip II of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Frederick I Duke of Lorraine has predecessor Simon II Duke of Lorraine, Simon II Duke of Lorraine has successor Frederick I Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Maximilian II Holy Roman Emperor has predecessor Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has successor Maximilian II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip II of France, Louis VII of France has successor Philip II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Philip I Duke of Burgundy, Joan I Countess of Auvergne has successor Philip I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Philip I Duke of Burgundy has predecessor Odo IV Duke of Burgundy, Odo IV Duke of Burgundy has successor Philip I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip I Duke of Burgundy has predecessor Joan III Countess of Burgundy, Joan III Countess of Burgundy has successor Philip I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
George III has predecessor George II of Great Britain, George II of Great Britain has successor George III. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles III of Spain has predecessor Charles VI Holy Roman Emperor, Charles VI Holy Roman Emperor has successor Charles III of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles III of Spain has predecessor Antonio Farnese Duke of Parma, Antonio Farnese Duke of Parma has successor Charles III of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis VI of France, Philip I of France has successor Louis VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Louis the Pious has predecessor Charlemagne, Charlemagne has successor Louis the Pious. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles IX of France has predecessor Francis II of France, Francis II of France has successor Charles IX of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Floris I Count of Holland has predecessor Dirk IV Count of Holland, Dirk IV Count of Holland has successor Floris I Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Robert I of France, Charles the Simple has successor Robert I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Louis the Younger has predecessor Louis the German, Louis the German has successor Louis the Younger. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Sancho I of Portugal has predecessor Afonso I of Portugal, Afonso I of Portugal has successor Sancho I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Albert I of Germany, Adolf King of the Romans has successor Albert I of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Robert III Count of Dreux has predecessor Robert II Count of Dreux, Robert II Count of Dreux has successor Robert III Count of Dreux. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry II of Castile, Peter of Castile has successor Henry II of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Henry III of England has predecessor John King of England, John King of England has successor Henry III of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry III of England, Louis VIII of France has successor Henry III of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Philip the Bold, John II of France has successor Philip the Bold. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Alfred the Great,  thelred I King of Wessex has successor Alfred the Great. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
John IV of Portugal has predecessor Philip IV of Spain, Philip IV of Spain has successor John IV of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ernest Augustus Elector of Hanover has predecessor John Frederick Duke of Brunswic Calenberg, John Frederick Duke of Brunswic Calenberg has successor Ernest Augustus Elector of Hanover. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis Philippe I has predecessor Charles X, Charles X has successor Louis Philippe I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis Philippe I has predecessor Henri Count of Chambord, Henri Count of Chambord has successor Louis Philippe I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis Philippe I has predecessor Louis Philippe II Duke of Orl ans, Louis Philippe II Duke of Orl ans has successor Louis Philippe I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Francesco I de Medici Grand Duke of Tuscany has predecessor Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has successor Francesco I de Medici Grand Duke of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Francis Hyacinth Duke of Savoy has predecessor Victor Amadeus I Duke of Savoy, Victor Amadeus I Duke of Savoy has successor Francis Hyacinth Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
