Rule 15:
If successor ?a, then father ?b.

Formal Rule:
Head: ?a  father  ?b
Body: ?b  successor  ?a

Real Instances from Knowledge Graph (354 found):

John I of Portugal, 1383 1385 Portuguese interregnum has successor John I of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ferdinand II of Aragon, Isabella I of Castile has successor Ferdinand II of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ferdinand II of Aragon has father John II of Aragon, John II of Aragon has successor Ferdinand II of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Ferdinand II of Aragon, Louis XII has successor Ferdinand II of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John II of France has father Philip VI of France, Philip VI of France has successor John II of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Sancho IV of Castile has father Alfonso X of Castile, Alfonso X of Castile has successor Sancho IV of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Charles the Fat, Carloman of Bavaria has successor Charles the Fat. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles the Fat, Charles the Bald has successor Charles the Fat. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles the Fat has father Louis the German, Louis the German has successor Charles the Fat. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Henry III of France, Charles IX of France has successor Henry III of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Willa of Burgundy, Marozia has successor Willa of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Maria Beatrice d Este Duchess of Massa, Maria Teresa Cybo Malaspina Duchess of Massa has successor Maria Beatrice d Este Duchess of Massa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis VIII of France, John King of England has successor Louis VIII of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis VIII of France has father Philip II of France, Philip II of France has successor Louis VIII of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Olga of Kiev, Igor of Kiev has successor Olga of Kiev. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Alfonso II of Aragon has father Ramon Berenguer IV Count of Barcelona, Ramon Berenguer IV Count of Barcelona has successor Alfonso II of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Alfonso II of Aragon, Petronilla of Aragon has successor Alfonso II of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia has father Victor Amadeus II of Sardinia, Victor Amadeus II of Sardinia has successor Charles Emmanuel III of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Charles II Archduke of Austria, Ferdinand I Holy Roman Emperor has successor Charles II Archduke of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Albert II Duke of Austria, Frederick the Fair has successor Albert II Duke of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Albert II Duke of Austria, Henry of Bohemia has successor Albert II Duke of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
William the Younger Duke of Brunswic L neburg has father Ernest I Duke of Brunswic L neburg, Ernest I Duke of Brunswic L neburg has successor William the Younger Duke of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
John of Montfort, John III Duke of Brittany has successor John of Montfort. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Drogo of Champagne, Pepin of Herstal has successor Drogo of Champagne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John I of Castile has father Henry II of Castile, Henry II of Castile has successor John I of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Adolf King of the Romans, Rudolf I of Germany has successor Adolf King of the Romans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Amaury II de Montfort, Simon I de Montfort has successor Amaury II de Montfort. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philip I of France, Henry I of France has successor Philip I of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Mary of Burgundy, Charles the Bold has successor Mary of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor has father Leopold Duke of Lorraine, Leopold Duke of Lorraine has successor Francis I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Francis I Holy Roman Emperor, Maria Theresa has successor Francis I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Gian Gastone de Medici Grand Duke of Tuscany has successor Francis I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Charles VII Holy Roman Emperor has successor Francis I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis I of Spain, Philip V of Spain has successor Louis I of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Carloman II has father Louis the Stammerer, Louis the Stammerer has successor Carloman II. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Ferdinand I of Aragon, Martin of Aragon has successor Ferdinand I of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis Philippe II Duke of Orl ans, Louis Philippe I Duke of Orl ans has successor Louis Philippe II Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philip VI of France has father Charles Count of Valois, Charles Count of Valois has successor Philip VI of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Philip VI of France, Margaret Countess of Anjou has successor Philip VI of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John I Count of Aumale, Joan Countess of Ponthieu has successor John I Count of Aumale. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Rudolph of France, Robert I of France has successor Rudolph of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
 thelbald King of Wessex,  thelwulf King of Wessex has successor  thelbald King of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ferdinand I of Austria, Francis II Holy Roman Emperor has successor Ferdinand I of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John II Duke of Brittany, John I Duke of Brittany has successor John II Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Otto I Duke of Bavaria, Henry the Lion has successor Otto I Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Pepin the Short, Carloman mayor of the palace has successor Pepin the Short. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Pepin the Short has father Charles Martel, Charles Martel has successor Pepin the Short. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Pepin the Short, Childeric III has successor Pepin the Short. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Maximilian Sforza, Louis XII has successor Maximilian Sforza. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Fulk King of Jerusalem, Baldwin II of Jerusalem has successor Fulk King of Jerusalem. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Fulk King of Jerusalem, Fulk IV Count of Anjou has successor Fulk King of Jerusalem. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Humbert II Count of Savoy has father Amadeus II Count of Savoy, Amadeus II Count of Savoy has successor Humbert II Count of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Philip II of Spain has father Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has successor Philip II of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Philip II of Spain, Mary I of England has successor Philip II of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Frederick I Duke of Lorraine, Simon II Duke of Lorraine has successor Frederick I Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor has father Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has successor Maximilian II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Philip II of France has father Louis VII of France, Louis VII of France has successor Philip II of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Philip I Duke of Burgundy, Joan I Countess of Auvergne has successor Philip I Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philip I Duke of Burgundy, Odo IV Duke of Burgundy has successor Philip I Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philip I Duke of Burgundy, Joan III Countess of Burgundy has successor Philip I Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
George III, George II of Great Britain has successor George III. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles III of Spain, Charles VI Holy Roman Emperor has successor Charles III of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles III of Spain, Antonio Farnese Duke of Parma has successor Charles III of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis VI of France has father Philip I of France, Philip I of France has successor Louis VI of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Louis the Pious has father Charlemagne, Charlemagne has successor Louis the Pious. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Charles IX of France, Francis II of France has successor Charles IX of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Floris I Count of Holland, Dirk IV Count of Holland has successor Floris I Count of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Robert I of France, Charles the Simple has successor Robert I of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis the Younger, Louis the German has successor Louis the Younger. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Sancho I of Portugal has father Afonso I of Portugal, Afonso I of Portugal has successor Sancho I of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Albert I of Germany, Adolf King of the Romans has successor Albert I of Germany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Robert III Count of Dreux, Robert II Count of Dreux has successor Robert III Count of Dreux. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry II of Castile, Peter of Castile has successor Henry II of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry III of England has father John King of England, John King of England has successor Henry III of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Henry III of England, Louis VIII of France has successor Henry III of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philip the Bold has father John II of France, John II of France has successor Philip the Bold. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Alfred the Great,  thelred I King of Wessex has successor Alfred the Great. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John IV of Portugal, Philip IV of Spain has successor John IV of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ernest Augustus Elector of Hanover, John Frederick Duke of Brunswic Calenberg has successor Ernest Augustus Elector of Hanover. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis Philippe I, Charles X has successor Louis Philippe I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis Philippe I, Henri Count of Chambord has successor Louis Philippe I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis Philippe I has father Louis Philippe II Duke of Orl ans, Louis Philippe II Duke of Orl ans has successor Louis Philippe I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Francesco I de Medici Grand Duke of Tuscany has father Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has successor Francesco I de Medici Grand Duke of Tuscany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Francis Hyacinth Duke of Savoy, Victor Amadeus I Duke of Savoy has successor Francis Hyacinth Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Henry VII Holy Roman Emperor has successor Louis IV Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Rudolf I Duke of Bavaria has successor Louis IV Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Canute VI of Denmark, Valdemar I of Denmark has successor Canute VI of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry VII Holy Roman Emperor, Henry VI Count of Luxembourg has successor Henry VII Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry VII Holy Roman Emperor, Conrad IV of Germany has successor Henry VII Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis Philippe I Duke of Orl ans has father Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has successor Louis Philippe I Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Robert I Duke of Burgundy, Henry I of France has successor Robert I Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Alfonso VIII of Castile has father Sancho III of Castile, Sancho III of Castile has successor Alfonso VIII of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
